X,Y,Z,Name,gx_media_links,WANTED
106.2740534,35.6330791,0,Chinese Long - Ear,,
106.460821,35.1494455,0,Chinese Long - Ear,,
106.6585749,34.8073763,0,Chinese Long - Ear,,
106.7684382,34.5905976,0,Chinese Long - Ear,,
107.1469066,34.2717119,0,Chinese Long - Ear,,
107.8450983,34.0279654,0,Chinese Long - Ear,,
108.1197594,34.0205421,0,Chinese Long - Ear,,
108.0734181,34.022463,0,Chinese Long - Ear,,
108.0914585,34.0302389,0,Chinese Long - Ear,,
108.0722624,34.3815324,0,Chinese Long - Ear,,
107.90003,34.7080899,0,Chinese Long - Ear,,
107.9549616,34.852467,0,Chinese Long - Ear,,
107.2957819,34.9695872,0,Chinese Long - Ear,,
106.9442194,35.0955296,0,Chinese Long - Ear,,
106.6475886,35.3916248,0,Chinese Long - Ear,,
106.4058894,35.6687883,0,Chinese Long - Ear,,
106.2520808,35.7847329,0,Chinese Long - Ear,,
106.2740534,35.6330791,0,Chinese Long - Ear,,
104.0658015,31.5812261,0,Chinese Long - Ear,,
105.4610651,32.4011826,0,Chinese Long - Ear,,
105.9993952,32.8453272,0,Chinese Long - Ear,,
105.3402155,32.9191367,0,Chinese Long - Ear,,
106.0982722,33.0297356,0,Chinese Long - Ear,,
104.4393366,33.1217955,0,Chinese Long - Ear,,
106.2850397,33.3331671,0,Chinese Long - Ear,,
106.1312312,33.5806461,0,Chinese Long - Ear,,
105.6478327,33.5989498,0,Chinese Long - Ear,,
105.1973933,33.6721255,0,Chinese Long - Ear,,
104.8128718,33.8091624,0,Chinese Long - Ear,,
104.1536921,34.0734786,0,Chinese Long - Ear,,
103.589346,34.469337,0,Chinese Long - Ear,,
103.1649226,34.4638814,0,Chinese Long - Ear,,
102.9898205,34.1780136,0,Chinese Long - Ear,,
103.276003,33.638625,0,Chinese Long - Ear,,
103.615362,33.2597045,0,Chinese Long - Ear,,
103.8570612,32.9467994,0,Chinese Long - Ear,,
103.9119929,32.5402144,0,Chinese Long - Ear,,
103.714239,32.029384,0,Chinese Long - Ear,,
104.0658015,31.5812261,0,Chinese Long - Ear,,
106.6387889,35.0870704,0,Chinese Long - Ear,,
106.7596385,34.8890533,0,Chinese Long - Ear,,
106.9738719,34.6137386,0,Chinese Long - Ear,,
107.0342967,34.50743,0,Chinese Long - Ear,,
107.295222,34.298944,0,Chinese Long - Ear,,
107.6577708,34.1854186,0,Chinese Long - Ear,,
107.6104788,34.2066489,0,Chinese Long - Ear,,
107.9589216,34.1663579,0,Chinese Long - Ear,,
107.9928539,34.4100502,0,Chinese Long - Ear,,
107.8118331,34.4832156,0,Chinese Long - Ear,,
107.7844495,34.5472364,0,Chinese Long - Ear,,
107.696223,34.6905578,0,Chinese Long - Ear,,
107.2732493,34.7740743,0,Chinese Long - Ear,,
106.993098,34.9543618,0,Chinese Long - Ear,,
106.8859813,34.9431055,0,Chinese Long - Ear,,
106.6387889,35.0870704,0,Chinese Long - Ear,,
111.4778867,33.4889926,0,Chinese Long - Nose,,
111.068646,33.7451623,0,Chinese Long - Nose,,
110.9780088,33.3124349,0,Chinese Long - Nose,,
111.1537901,33.3835597,0,Chinese Long - Nose,,
111.1953869,33.5571589,0,Chinese Long - Nose,,
111.3481524,33.4236281,0,Chinese Long - Nose,,
111.4778867,33.4889926,0,Chinese Long - Nose,,
114.6532904,27.5618784,0,Chinese Long - Scales,,
114.1369329,27.7370493,0,Chinese Long - Scales,,
113.7414251,27.1813825,0,Chinese Long - Scales,,
112.9833685,26.8289995,0,Chinese Long - Scales,,
111.9506537,26.3869758,0,Chinese Long - Scales,,
110.5993353,25.5672475,0,Chinese Long - Scales,,
110.9691523,24.5321723,0,Chinese Long - Scales,,
110.7494258,25.4284323,0,Chinese Long - Scales,,
111.8260859,26.1604081,0,Chinese Long - Scales,,
113.7816523,27.0444885,0,Chinese Long - Scales,,
114.1680836,27.6001523,0,Chinese Long - Scales,,
114.6532904,27.5618784,0,Chinese Long - Scales,,
109.7891781,32.2379457,0,Chinese Long - Mouth,,
108.4205614,32.4295975,0,Chinese Long - Mouth,,
108.3034635,32.2737245,0,Chinese Long - Mouth,,
109.3040144,31.818826,0,Chinese Long - Mouth,,
110.0670068,31.5624428,0,Chinese Long - Mouth,,
111.0083225,31.3961017,0,Chinese Long - Mouth,,
111.2706845,31.9009162,0,Chinese Long - Mouth,,
109.7891781,32.2379457,0,Chinese Long - Mouth,,
111.5381935,33.7649681,0,Chinese Long - Nose,,
111.2141106,33.6987242,0,Chinese Long - Nose,,
111.3900033,33.6588641,0,Chinese Long - Nose,,
111.6096013,33.6873099,0,Chinese Long - Nose,,
111.5986075,33.5523687,0,Chinese Long - Nose,,
111.7662246,33.6156442,0,Chinese Long - Nose,,
111.5381935,33.7649681,0,Chinese Long - Nose,,
104.2881247,33.2653795,0,Chinese Long - Dragon,,
104.9673558,33.76802,0,Chinese Long - Dragon,,
103.5893422,34.4693354,0,Chinese Long - Dragon,,
102.9374966,34.4690841,0,Chinese Long - Dragon,,
103.1394833,34.3235508,0,Chinese Long - Dragon,,
102.9898167,34.1780119,0,Chinese Long - Dragon,,
103.5234825,33.7140978,0,Chinese Long - Dragon,,
104.002963,32.7729156,0,Chinese Long - Dragon,,
104.2881247,33.2653795,0,Chinese Long - Dragon,,
104.002963,32.7729156,0,Chinese Long - Dragon,,
104.8373238,33.6562516,0,Chinese Long - Dragon,,
104.2881247,33.2653795,0,Chinese Long - Dragon,,
104.002963,32.7729156,0,Chinese Long - Dragon,,
111.2074028,33.674811,0,Chinese Long - Dragon,,
111.2141106,33.6987242,0,Chinese Long - Dragon,,
111.0812801,33.6878058,0,Chinese Long - Dragon,,
111.2074028,33.674811,0,Chinese Long - Dragon,,
111.1981036,33.4966096,0,Chinese Long - Dragon,,
111.3023131,33.4691603,0,Chinese Long - Dragon,,
111.2441979,33.5267932,0,Chinese Long - Dragon,,
111.1953871,33.5571555,0,Chinese Long - Dragon,,
111.1981036,33.4966096,0,Chinese Long - Dragon,,
111.2074028,33.674811,0,Chinese Long - Dragon,,
111.1966942,33.6366065,0,Chinese Long - Dragon,,
111.1956775,33.5748314,0,Chinese Long - Dragon,,
111.2441979,33.5267932,0,Chinese Long - Dragon,,
111.3618815,33.4534227,0,Chinese Long - Dragon,,
111.3023131,33.4691603,0,Chinese Long - Dragon,,
111.3481524,33.4236281,0,Chinese Long - Dragon,,
111.7662246,33.6156442,0,Chinese Long - Dragon,,
111.2074028,33.674811,0,Chinese Long - Dragon,,
111.0812801,33.6878058,0,Chinese Long - Dragon,,
111.068646,33.7451623,0,Chinese Long - Dragon,,
111.0492849,33.8197546,0,Chinese Long - Dragon,,
110.8903465,33.7871321,0,Chinese Long - Dragon,,
110.8462203,33.7986693,0,Chinese Long - Dragon,,
110.7308285,33.8692667,0,Chinese Long - Dragon,,
110.7305214,33.823411,0,Chinese Long - Dragon,,
110.6912327,33.8501772,0,Chinese Long - Dragon,,
110.6551692,33.8261537,0,Chinese Long - Dragon,,
110.5699506,34.0844358,0,Chinese Long - Dragon,,
110.4265849,34.135606,0,Chinese Long - Dragon,,
110.1561725,34.1065412,0,Chinese Long - Dragon,,
109.928023,34.0476913,0,Chinese Long - Dragon,,
109.7737545,33.9881798,0,Chinese Long - Dragon,,
109.6365452,33.9185804,0,Chinese Long - Dragon,,
109.2787253,33.9053797,0,Chinese Long - Dragon,,
108.8620091,33.936812,0,Chinese Long - Dragon,,
108.3284958,34.006881,0,Chinese Long - Dragon,,
108.1011563,34.1105755,0,Chinese Long - Dragon,,
108.0938735,34.0702497,0,Chinese Long - Dragon,,
108.0722585,34.3815312,0,Chinese Long - Dragon,,
107.9794477,34.5149549,0,Chinese Long - Dragon,,
107.9141433,34.5215207,0,Chinese Long - Dragon,,
107.9171848,34.5905441,0,Chinese Long - Dragon,,
107.8457736,34.6854548,0,Chinese Long - Dragon,,
107.8011426,34.7781748,0,Chinese Long - Dragon,,
107.574348,34.8389921,0,Chinese Long - Dragon,,
107.0737777,34.9952906,0,Chinese Long - Dragon,,
106.7877315,35.2890625,0,Chinese Long - Dragon,,
106.5168657,35.4253534,0,Chinese Long - Dragon,,
106.4058853,35.6687869,0,Chinese Long - Dragon,,
106.3301394,35.8676978,0,Chinese Long - Dragon,,
106.3368578,35.5282703,0,Chinese Long - Dragon,,
106.4098717,35.372559,0,Chinese Long - Dragon,,
106.2521999,35.4764147,0,Chinese Long - Dragon,,
106.1674154,35.6480133,0,Chinese Long - Dragon,,
106.1403238,35.9104545,0,Chinese Long - Dragon,,
106.0798852,35.9587537,0,Chinese Long - Dragon,,
106.1744638,35.5332867,0,Chinese Long - Dragon,,
106.6153049,34.9380179,0,Chinese Long - Dragon,,
106.8249228,34.5755387,0,Chinese Long - Dragon,,
106.7486017,34.5185469,0,Chinese Long - Dragon,,
106.5514059,34.4884594,0,Chinese Long - Dragon,,
106.2069561,34.5011691,0,Chinese Long - Dragon,,
106.1813449,34.3822655,0,Chinese Long - Dragon,,
105.7946277,34.2488883,0,Chinese Long - Dragon,,
105.3432951,34.0749162,0,Chinese Long - Dragon,,
105.3652639,33.8197309,0,Chinese Long - Dragon,,
105.0772191,33.8227998,0,Chinese Long - Dragon,,
103.7832364,32.5324156,0,Chinese Long - Dragon,,
103.2686768,32.2854835,0,Chinese Long - Dragon,,
102.4319181,31.8723841,0,Chinese Long - Dragon,,
101.4870939,30.8875694,0,Chinese Long - Dragon,,
101.199046,30.1145452,0,Chinese Long - Dragon,,
100.6631192,28.800835,0,Chinese Long - Dragon,,
100.9683332,27.8272382,0,Chinese Long - Dragon,,
101.0134209,27.5249468,0,Chinese Long - Dragon,,
101.5445939,27.1183599,0,Chinese Long - Dragon,,
101.6664927,27.0138675,0,Chinese Long - Dragon,,
101.7447007,26.916413,0,Chinese Long - Dragon,,
102.8579819,26.1434217,0,Chinese Long - Dragon,,
104.2022563,26.1169734,0,Chinese Long - Dragon,,
105.6924543,26.8709403,0,Chinese Long - Dragon,,
106.8789777,27.6716738,0,Chinese Long - Dragon,,
108.0435283,28.6595657,0,Chinese Long - Dragon,,
108.6367901,28.9099143,0,Chinese Long - Dragon,,
108.4390364,27.3208431,0,Chinese Long - Dragon,,
107.5381575,26.3700357,0,Chinese Long - Dragon,,
107.4169696,25.5168523,0,Chinese Long - Dragon,,
107.7202634,24.9970731,0,Chinese Long - Dragon,,
108.2193101,24.7147157,0,Chinese Long - Dragon,,
