X,Y,Z,Name,description,gx_media_links
45.9827367,13.1410407,0,Gulf Of Aden (Eden),παράδεισος,
46.6837501,12.4388032,0,Gulf Of Aden (Eden),παράδεισος,
45.8368528,11.7142743,0,Gulf Of Aden (Eden),παράδεισος,
47.1032717,11.7441932,0,Gulf Of Aden (Eden),παράδεισος,
47.694342,10.8984148,0,Gulf Of Aden (Eden),παράδεισος,
48.2312614,11.8346985,0,Gulf Of Aden (Eden),παράδεισος,
49.6631563,11.9184537,0,Gulf Of Aden (Eden),παράδεισος,
48.5971277,12.5403054,0,Gulf Of Aden (Eden),παράδεισος,
49.3714587,13.3695298,0,Gulf Of Aden (Eden),παράδεισος,
48.1140836,13.2373098,0,Gulf Of Aden (Eden),παράδεισος,
47.7075901,14.0593614,0,Gulf Of Aden (Eden),παράδεισος,
47.158274,13.2052246,0,Gulf Of Aden (Eden),παράδεισος,
45.9827367,13.1410407,0,Gulf Of Aden (Eden),παράδεισος,
41.6051276,9.6135079,0,Tree Of Life,,
42.5546618,10.0794102,0,Tree Of Life,,
37.5201555,11.5126745,0,Tree Of Life,,
41.6930107,10.5075177,0,Tree Of Life,,
40.485605,11.195979,0,Tree Of Life,,
41.034922,11.583697,0,Tree Of Life,,
39.957171,12.863477,0,Tree Of Life,,
39.869281,13.932192,0,Tree Of Life,,
39.825335,15.038431,0,Tree Of Life,,
38.155414,14.995986,0,Tree Of Life,,
37.5609575,14.1461821,0,Tree Of Life,,
36.705218,14.273159,0,Tree Of Life,,
36.3302279,13.3985333,0,Tree Of Life,,
35.474749,13.163193,0,Tree Of Life,,
35.1878988,12.1767054,0,Tree Of Life,,
34.507952,11.876212,0,Tree Of Life,,
34.5289819,10.7978002,0,Tree Of Life,,
33.892718,10.064318,0,Tree Of Life,,
34.045923,9.240521,0,Tree Of Life,,
33.6290462,8.4813286,0,Tree Of Life,,
33.8272826,7.6972182,0,Tree Of Life,,
33.760882,6.717247,0,Tree Of Life,,
34.9043834,6.3901306,0,Tree Of Life,,
35.2330507,5.2531442,0,Tree Of Life,,
36.441546,4.31162,0,Tree Of Life,,
36.8371486,4.6733807,0,Tree Of Life,,
37.1007783,3.9834442,0,Tree Of Life,,
38.287249,4.223973,0,Tree Of Life,,
39.6054743,4.2029423,0,Tree Of Life,,
40.0229569,4.7831452,0,Tree Of Life,,
40.616351,4.399257,0,Tree Of Life,,
41.3853936,5.821765,0,Tree Of Life,,
41.5392026,6.5644699,0,Tree Of Life,,
