X,Y,Z,Name,description,gx_media_links
-111.414445,39.953304,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-111.401616,40.256438,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-111.386058,39.5452322,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-111.414445,39.953304,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-110.8312093,42.9302795,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-110.8204566,42.8386024,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-110.8510782,43.0890006,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-110.8312093,42.9302795,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-109.103857,44.917021,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
-109.114374,44.941673,0,The Story of Jonah,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSfTu1QOFPZy-i3CB9sieZApOhzcfHn1rpDAtJoL2nvBf0lx_gTbAvK7UNZ2cwa5M8QvWWjki-RFYWa5hIr4bBl1y_n2SOZqBHv8e1WpxLSfUGxFzjJBKobHGX3_pSMeSs1ywCZ7Ppcd9uvjejYBJTw7aYOQNl-03xyn6jHnz1ovoWOQ_-WLeNZM8LbyJN_Z0qi3TtOnktGhb6SO64V57uh22Tp_mCtVF9Jua63hskg8hw3e8faI0NAutvKyw?authuser=0&fife=s16383
