X,Y,Z,Name,description,gx_media_links,Interactive exploration,Key features of this video,Visual evidence
-23.7262022,81.9907925,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-27.1319639,82.0578649,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-28.274542,82.0274469,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-30.1861631,81.9107993,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-31.8341123,81.7610289,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-32.3175108,81.6946414,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-31.7022764,81.4629691,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-30.1641904,81.1135706,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-23.7481748,79.4363619,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-20.6939756,79.6714009,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-19.2651486,79.827052,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-18.6724913,80.1034342,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-18.7603819,80.7429252,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-21.1566861,81.4146097,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-23.7262022,81.9907925,0,VIDEO - Story of Perseus,,https://www.youtube.com/embed/rmsHNZsnm0w,Interactive map shows the entire story.,<br>,Stunning artwork that brings the ancient story to life.
-28.8998789,81.7786977,0,Danae,,,,,
-28.8119883,81.7424855,0,Danae,,,,,
-28.916409,81.7286118,0,Danae,,,,,
-29.0152859,81.7341418,0,Danae,,,,,
-29.0866465,81.6997733,0,Danae,,,,,
-28.8339609,81.6838984,0,Danae,,,,,
-28.2736582,81.6632159,0,Danae,,,,,
-27.8781504,81.674359,0,Danae,,,,,
-27.2409434,81.6838984,0,Danae,,,,,
-26.8234629,81.6966007,0,Danae,,,,,
-26.6696543,81.7251106,0,Danae,,,,,
-26.6476817,81.7739833,0,Danae,,,,,
-26.9003672,81.8006627,0,Danae,,,,,
-27.0706553,81.801446,0,Danae,,,,,
-27.4332041,81.7904719,0,Danae,,,,,
-27.5182321,81.7924293,0,Danae,,,,,
-27.6254649,81.8303791,0,Danae,,,,,
-27.7573008,81.839741,0,Danae,,,,,
-28.064918,81.8288177,0,Danae,,,,,
-28.2406992,81.786549,0,Danae,,,,,
-28.4054942,81.7692663,0,Danae,,,,,
-28.8998789,81.7786977,0,Danae,,,,,
48.0080464,37.8615962,0,Brahma - Foot,,,,,
47.9380086,37.8778575,0,Brahma - Foot,,,,,
47.8556111,37.8225544,0,Brahma - Foot,,,,,
47.7292683,37.7617816,0,Brahma - Foot,,,,,
47.6990559,37.6705288,0,Brahma - Foot,,,,,
